material,band_gap_eV,gap_source,class,n_papers,median_rate,p25,p75
graphene oxide,2.2,curated,carbon,3,5500.0,2993.0,160600.0
Bi2O3,2.8,curated,oxide,2,600.5,300.8,900.3
Bi2WO6,2.7,curated,oxide,2,943.8,804.1,1083.4
BiVO4,2.4,curated,oxide,2,28.9,20.5,37.2
COF,2.5,curated,framework,2,4125.0,2598.5,5651.5
CdTe,1.5,curated,telluride,2,13881.6,7172.4,20590.8
CoS,0.5,curated,sulfide,2,738.5,509.2,967.8
CuInS2,1.5,curated,sulfide,2,7.1,4.2,10.1
UiO-66,3.9,curated,framework,2,4113.0,2906.5,5319.5
Ag2O,1.5,curated,oxide,1,55800.0,55800.0,55800.0
BiFeO3,2.2,curated,perovskite,1,216.0,216.0,216.0
K4Nb6O17,3.3,curated,layered,1,205.0,205.0,205.0
MnS,3.0,reconciled,sulfide,1,4.0,4.0,4.0
MoSe2,1.6,curated,selenide,1,41230.0,41230.0,41230.0
V2O5,2.32,curated,oxide,1,3.0,3.0,3.0
WSe2,1.35,curated,selenide,1,11.3,11.3,11.3
ZnS/CdS,2.6,curated,sulfide,1,110.0,110.0,110.0
ZnSe,2.79,curated,selenide,1,417.2,417.2,417.2
black phosphorus,1.5,curated,other,1,512.0,512.0,512.0
Ag2CrO4,1.8,curated,oxide,0,,,
AgInS2,1.9,curated,sulfide,0,,,
AgNbO3,2.8,curated,perovskite,0,,,
AgTaO3,3.4,curated,perovskite,0,,,
AgVO3,2.1,curated,oxide,0,,,
Bi2MoO6,2.7,curated,oxide,0,,,
Bi2O2CO3,3.42,curated,oxide,0,,,
Bi2Se3,0.4,curated,selenide,0,,,
Bi2Sn2O7,2.7,curated,pyrochlore,0,,,
Bi2Te3,0.25,measured(expt_gap),telluride,0,,,
Bi2Ti2O7,2.9,curated,pyrochlore,0,,,
Bi4Ti3O12,3.0,curated,oxide,0,,,
C3N5,2.0,curated,carbon_nitride,0,,,
CaNb2O6,3.9,curated,perovskite,0,,,
Cs2AgBiBr6,2.19,curated,halide_perovskite,0,,,
CsPbBr3,2.3,curated,halide_perovskite,0,,,
Cu2S,1.2,curated,sulfide,0,,,
CuInSe2,0.96,curated,selenide,0,,,
CuWO4,2.3,curated,oxide,0,,,
FeS2,0.95,curated,sulfide,0,,,
FeVO4,2.0,curated,oxide,0,,,
FeWO4,2.0,curated,oxide,0,,,
GaN,3.4,curated,nitride,0,,,
Gd2Ti2O7,3.4,curated,pyrochlore,0,,,
Ge3N4,3.8,curated,nitride,0,,,
HCa2Nb3O10,3.4,curated,layered,0,,,
KCa2Nb3O10,3.5,curated,layered,0,,,
La2Sn2O7,4.4,curated,pyrochlore,0,,,
La2Zr2O7,5.0,curated,pyrochlore,0,,,
MIL-125,3.6,curated,framework,0,,,
MnCdS,2.3,curated,sulfide,0,,,
MnO2,1.3,curated,oxide,0,,,
MnWO4,2.8,curated,oxide,0,,,
PbO,2.8,curated,oxide,0,,,
PbTiO3,3.4,curated,perovskite,0,,,
Sb2S3,1.7,curated,sulfide,0,,,
Sb2Se3,1.2,curated,selenide,0,,,
Sm2Ti2O7,3.5,curated,pyrochlore,0,,,
SnO,3.0,curated,oxide,0,,,
SnS2/SnS,1.8,curated,sulfide,0,,,
Sr2Nb2O7,3.9,curated,layered,0,,,
TiO2 (rutile),3.0,curated,oxide,0,,,
Y2Sn2O7,4.2,curated,pyrochlore,0,,,
Y2Ti2O7,3.5,curated,pyrochlore,0,,,
ZnTe,2.18,measured(expt_gap),telluride,0,,,
boron nitride,5.9,curated,other,0,,,
carbon dots,2.8,curated,carbon,0,,,
red phosphorus,1.8,curated,other,0,,,
